Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,1.6,18,581.6,6.8,13.5,53.5,18.2,80.46,18.8,16.1
Bulgaria,41.4,9.7,613.5,9.9,25,29.4,12.9,60.63,16.9,26.3
Czechia,18.7,13.9,616.1,7,17.4,29.7,8.9,80.7,25.9,12
Denmark,8.1,16.5,1052.3,3.1,11.3,47.4,16.1,91.3,19.1,7.7
Germany (until 1990 former territory of the FRG),7,25.8,564.8,4.2,13.4,66.7,12.8,95.766,14.4,13.8
Estonia,13.4,9.4,1540.5,5.1,6.7,28.3,13.4,87.61,21.8,11.8
Ireland,3.8,8.2,961.3,3.4,8,39.8,13.6,60.56,16.7,10.9
Greece,28.1,19.2,627.7,7.3,16.4,15.8,15.1,93.4,18.6,12.8
Spain,5.5,15.7,572.9,3.6,13,30,15.2,84.68,18.6,10
France,7.4,16.4,835.2,5.2,13.5,40.7,12.6,80.2,17.2,14.2
Croatia,41.7,8.3,670.7,8.3,21.9,18,10.9,36.9,14.1,2.8
Italy,27.8,18.3,471.5,5.6,22,44.3,24.1,59.6,18.6,19.4
Cyprus,1.4,17.2,977.2,6.7,17.2,16.6,26.5,,18.7,12
Latvia,41.4,14.6,1297.2,9.5,15.9,28.7,24.4,90.29,19.3,11.8
Lithuania,26.4,15.4,1053.1,8.3,10.9,33.1,17,72.282,10.8,4.6
Luxembourg,6.8,20.1,511.7,6.3,11.7,47.4,14.4,96.6,17.1,14.9
Hungary,41.1,13.7,704.3,6.5,20.2,32.2,25.4,76.47,31.8,10.6
Malta,3.8,24.6,190.6,2.5,,10.9,10.1,0,17.7,11
Netherlands,3.3,24.7,471.6,3.1,12.7,51.8,15.7,99.43,13.8,17.4
Austria,15,17.5,703.6,5.5,14.5,56.9,11.7,95,21.3,12.9
Poland,43.4,12.4,623.9,7.7,23.8,32.5,11.9,72.6,21.5,5.8
Portugal,10.3,23,621.2,5.7,10.3,29.8,28.1,84.64,11.1,10.5
Romania,49.7,22.2,364.8,9.6,17.1,13.2,12.8,39.7,22.1,13.1
Slovenia,13.7,12.9,609.2,5.8,21.6,54.1,26.9,57.4,13.9,9.2
Slovakia,37.8,12.8,536.2,5.7,19,14.9,6.3,63.6,24.2,7.3
Finland,6.7,11.7,2458.7,4.9,6,40.6,4.4,85,15,7.3
Sweden,13.9,12.6,2343.8,2.6,6.1,47.5,7.7,95,16.8,10.9
Iceland,8.3,11.4,,4.8,7.4,0,19.3,,11.4,2.2
Norway,5.2,10.2,,2.3,7.6,42.8,6.8,53.4,10.6,5.7
Switzerland,6.4,17.7,,3.1,11.3,52.7,11.9,98,25.6,11.9
United Kingdom,7.3,16.5,430.5,2.8,10,43.3,14.8,100,14.1,16.6
Type,-1,-1,1,-1,-1,1,-1,1,1,-1
